名字,最大CP,最大HP,攻擊,防禦,耐力,屬性
利牙魚,"1,020",111,171,39,128,水
巨牙鯊,"2,181",146,243,83,172,水
吼吼鯨,"1,468",228,136,68,277,水
吼鯨王,"2,280",283,175,87,347,水
泥泥鰍,819,118,93,82,137,水
鯰魚王,"2,075",200,151,141,242,水
龍蝦小兵,"1,230",109,141,99,125,水
鐵螯龍蝦,"2,474",136,224,142,160,水
醜醜魚,274,78,29,85,85,水
美納斯,"3,005",180,192,219,216,水
海豹球,962,146,95,90,172,水
海魔獅,"1,714",173,137,132,207,水
帝牙海獅,"2,726",200,182,176,242,水
古空棘魚,"2,528",187,162,203,225,水
愛心魚,848,109,81,128,125,水
蓋歐卡,"4,115",171,270,228,205,水
波加曼,"1,075",122,112,102,142,水
波皇子,"1,701",138,150,139,162,水
帝王拿波,"2,900",165,210,186,197,水
大尾狸,"1,823",158,162,119,188,水
泳圈鼬,"1,054",125,132,67,146,水
浮潛鼬,"2,443",166,221,114,198,水
無殼海兔,"1,136",154,103,105,183,水
海兔獸,"2,324",202,169,143,244,水
螢光魚,971,117,96,116,135,水
霓虹魚,"1,814",144,142,170,170,水
小球飛魚,"1,248",111,105,179,128,水
水水獺,"1,046",125,117,85,146,水
雙刃丸,"1,741",153,159,116,181,水
大劍鬼,"2,826",180,212,157,216,水
冷水猴,956,118,104,94,137,水
冷水猿,"2,350",153,206,133,181,水
圓蝌蚪,839,118,98,78,137,水
藍蟾蜍,"1,392",153,128,109,181,水
蟾蜍王,"2,564",193,188,150,233,水
野蠻鱸魚,"2,090",146,189,129,172,水
原蓋海龜,"1,488",124,134,146,144,水
肋骨海龜,"2,621",151,192,197,179,水
鴨寶寶,856,135,84,96,158,水
舞天鵝,"2,088",153,182,132,181,水
輕飄飄,"1,257",125,115,134,146,水
胖嘟嘟,"2,338",187,159,178,225,水
保母曼波,"2,169",275,138,131,338,水
凱路迪歐,"3,698",175,260,192,209,水
,"1,813",147.1262136,150.5631068,138.7864078,173.8640777,
,,,,,,
妙蛙種子,"1,115",111,118,111,128,草
妙蛙草,"1,699",132,151,143,155,草
妙蛙花,"2,720",160,198,189,190,草
走路草,"1,228",111,131,112,128,草
臭臭花,"1,681",132,153,136,155,草
霸王花,"2,559",153,202,167,181,草
派拉斯,"1,018",98,121,99,111,草
派拉斯特,"1,859",132,165,146,155,草
喇叭芽,"1,033",118,139,61,137,草
口呆花,"1,611",139,172,92,163,草
大食花,"2,431",160,207,135,190,草
蛋蛋,"1,175",132,107,125,155,草
椰蛋樹,"3,014",180,233,149,216,草
蔓藤怪,"2,238",139,183,169,163,草
菊草葉,935,111,92,122,128,草
月桂葉,"1,454",132,122,155,155,草
大竺葵,"2,410",160,168,202,190,草
美麗花,"2,281",153,169,186,181,草
毽子草,600,98,67,94,111,草
毽子花,976,125,91,120,146,草
毽子棉,"1,636",153,118,183,181,草
向日種子,395,91,55,55,102,草
向日花怪,"2,141",153,185,135,181,草
時拉比,"3,265",187,210,210,225,草
木守宮,"1,053",105,124,94,120,草
森林蜥蜴,"1,673",118,172,120,137,草
蜥蜴王,"2,757",146,223,169,172,草
蓮葉童子,598,105,71,77,120,草
蓮帽小童,"1,197",132,112,119,155,草
樂天河童,"2,323",160,173,176,190,草
橡實果,598,105,71,77,120,草
長鼻葉,"1,227",146,134,78,172,草
狡猾天狗,"2,333",173,200,121,207,草
蘑蘑菇,810,132,74,110,155,草
斗笠菇,"2,628",132,241,144,155,草
毒薔薇,"1,870",118,186,131,137,草
刺球仙人掌,"1,242",118,156,74,137,草
夢歌仙人掌,"2,298",146,221,115,172,草
觸手百合,"1,291",140,105,150,165,草
搖籃百合,"2,211",168,152,194,200,草
熱帶龍,"1,941",186,136,163,223,草
草苗龜,"1,187",125,119,110,146,草
樹林龜,"1,890",153,157,143,181,草
土台龜,"2,934",180,202,188,216,草
含羞苞,856,105,91,109,120,草
羅絲雷朵,"2,971",132,243,185,155,草
結草貴婦,"1,773",132,141,180,155,草
櫻花寶,950,111,108,92,128,草
櫻花兒,"2,048",146,170,153,172,草
尖牙籠,"2,159",151,187,136,179,草
雪笠怪,"1,159",132,115,105,155,草
暴雪王,"2,362",173,178,158,207,草
巨蔓藤,"3,030",187,207,184,225,草
葉伊布,"2,944",139,216,219,163,草
藤藤蛇,849,111,88,107,128,草
青藤蛇,"1,441",132,122,152,155,草
君主蛇,"2,277",153,161,204,181,草
花椰猴,956,118,104,94,137,草
花椰猿,"2,350",153,206,133,181,草
蟲寶包,977,111,96,124,128,草
寶包繭,"1,370",125,115,162,146,草
保母蟲,"2,580",153,205,165,181,草
木棉球,700,105,71,111,120,草
風妖精,"2,014",132,164,176,155,草
百合根娃娃,"1,030",111,119,91,128,草
裙兒小姐,"2,550",146,214,155,172,草
沙鈴仙人掌,"2,274",153,201,130,181,草
四季鹿,"1,135",132,115,100,155,草
萌芽鹿,"2,416",160,198,146,190,草
哎呀球菇,979,144,97,91,170,草
敗露球菇,"2,140",206,155,139,249,草
種子鐵球,941,111,82,155,127,草
堅果啞鈴,"2,321",151,158,223,179,草
畢力吉翁,"3,022",175,192,229,209,草
,"1,758",138,150,139,163,
,,,,,,
皮卡丘,938,98,112,96,111,電
雷丘,"2,182",132,193,151,155,電
小磁怪,"1,362",84,165,121,93,電
三合一磁怪,"2,485",118,223,169,137,電
霹靂電球,"1,010",105,109,111,120,電
頑皮雷彈,"2,099",132,173,173,155,電
電擊獸,"2,334",139,198,158,163,電
雷伊布,"2,888",139,232,182,163,電
閃電鳥,"3,527",173,253,185,207,電
燈籠魚,"1,119",153,106,97,181,電
電燈怪,"2,085",221,146,137,268,電
皮丘,473,78,77,53,85,電
咩利羊,991,125,114,79,146,電
茸茸羊,"1,521",146,145,109,172,電
電龍,"2,852",173,211,169,207,電
電擊怪,"1,206",111,135,101,128,電
雷公,"3,452",173,241,195,207,電
落雷獸,965,105,123,78,120,電
雷電獸,"2,340",146,215,127,172,電
正電拍拍,"1,778",132,167,129,155,電
負電拍拍,"1,694",132,147,150,155,電
小貓怪,876,111,117,64,128,電
勒克貓,"1,486",132,159,95,155,電
倫琴貓,"2,888",160,232,156,190,電
帕奇利茲,"1,213",132,94,172,155,電
自爆磁怪,"3,205",146,238,205,172,電
電擊魔獸,"3,079",153,249,163,181,電
洛托姆,"2,031",118,185,159,137,電
斑斑馬,882,111,118,64,128,電
雷電斑馬,"2,428",153,211,136,181,電
電飛鼠,"1,633",125,158,127,146,電
電電蟲,"1,023",118,110,98,137,電
電蜘蛛,"2,206",146,201,128,172,電
麻麻小魚,811,98,105,78,111,電
麻麻鰻,"1,715",139,156,130,163,電
麻麻鰻魚王,"2,732",166,217,152,198,電
泥巴魚,"2,162",199,144,171,240,電
雷電雲,"3,345",158,266,164,188,電
捷克羅姆,"4,038",171,275,211,205,電
,"1,976",137.2051282,172.3076923,134.4358974,161.2051282,
,,,,,,
凱西,"1,342",84,195,82,93,超能力
勇基拉,"2,059",105,232,117,120,超能力
胡地,"3,057",125,271,167,146,超能力
呆呆獸,"1,226",173,109,98,207,超能力
呆殼獸,"2,545",180,177,180,216,超能力
催眠貘,"1,040",132,89,136,155,超能力
引夢貘人,"2,090",166,144,193,198,超能力
蛋蛋,"1,175",132,107,125,155,超能力
椰蛋樹,"3,014",180,233,149,216,超能力
寶石海星,"2,584",132,210,184,155,超能力
魔牆人偶,"2,228",105,192,205,120,超能力
迷唇姐,"2,555",139,223,151,163,超能力
超夢,"4,178",179,300,182,214,超能力
夢幻,"3,265",187,210,210,225,超能力
天然雀,"1,102",105,134,89,120,超能力
天然鳥,"2,188",139,192,146,163,超能力
太陽伊布,"3,170",139,261,175,163,超能力
呆呆王,"2,545",180,177,180,216,超能力
未知圖騰,"1,185",116,136,91,134,超能力
果然翁,"1,026",310,60,106,382,超能力
麒麟奇,"2,046",146,182,133,172,超能力
迷唇娃,"1,291",111,153,91,128,超能力
洛奇亞,"3,703",195,193,310,235,超能力
時拉比,"3,265",187,210,210,225,超能力
拉魯拉絲,539,89,79,59,99,超能力
奇魯莉安,966,102,117,90,116,超能力
沙奈朵,"3,093",143,237,195,169,超能力
瑪沙那,693,91,78,107,102,超能力
恰雷姆,"1,431",132,121,152,155,超能力
跳跳豬,"1,334",132,125,122,155,超能力
噗噗豬,"2,369",160,171,188,190,超能力
月石,"2,327",173,178,153,207,超能力
太陽岩,"2,327",173,178,153,207,超能力
天秤偶,787,105,77,124,120,超能力
念力土偶,"1,971",132,140,229,155,超能力
風鈴鈴,"2,259",153,175,170,181,超能力
小果然,534,180,41,86,216,超能力
鐵啞鈴,976,105,96,132,120,超能力
金屬怪,"1,721",132,138,176,155,超能力
巨金怪,"3,791",160,257,228,190,超能力
拉帝亞斯,"3,510",160,228,246,190,超能力
拉帝歐斯,"3,812",160,268,212,190,超能力
代歐奇希斯,"3,160",118,345,115,137,超能力
鈴鐺響,"1,005",111,114,94,128,超能力
銅鏡怪,603,128,43,154,149,超能力
青銅鐘,"2,239",142,161,213,167,超能力
魔尼尼,"1,095",78,125,142,85,超能力
艾路雷朵,"3,093",143,237,195,169,超能力
克雷色利亞,"2,857",214,152,258,260,超能力
比克提尼,"3,265",187,210,210,225,超能力
食夢夢,"1,145",154,111,92,183,超能力
夢夢蝕,"2,723",209,183,166,253,超能力
滾滾蝙蝠,"1,016",139,107,85,163,超能力
心蝙蝠,"1,716",142,161,119,167,超能力
象徵鳥,"2,550",149,204,167,176,超能力
哥德寶寶,951,111,98,112,128,超能力
哥德小童,"1,604",132,137,153,155,超能力
哥德小姐,"2,419",146,176,205,172,超能力
單卵細胞球,"1,367",111,170,83,128,超能力
雙卵細胞球,"2,018",139,208,103,163,超能力
人造細胞卵,"2,927",200,214,148,242,超能力
小灰怪,"1,385",125,148,100,146,超能力
大宇怪,"2,753",153,221,163,181,超能力
美洛耶塔,"3,972",187,250,225,225,超能力
,"2,097",146,170,154,173,
,,,,,,
白海獅,"1,985",173,139,177,207,冰
刺甲貝,"2,547",118,186,256,137,冰
迷唇姐,"2,555",139,223,151,163,冰
拉普拉斯,"2,641",228,165,174,277,冰
急凍鳥,"3,051",173,192,236,207,冰
狃拉,"2,051",125,189,146,146,冰
小山豬,741,118,90,69,137,冰
長毛豬,"2,345",187,181,138,225,冰
信使鳥,"1,094",111,128,90,128,冰
迷唇娃,"1,291",111,153,91,128,冰
雪童子,888,118,95,95,137,冰
冰鬼護,"2,105",160,162,162,190,冰
海豹球,962,146,95,90,172,冰
海魔獅,"1,714",173,137,132,207,冰
帝牙海獅,"2,726",200,182,176,242,冰
雷吉艾斯,"3,122",160,179,309,190,冰
雪笠怪,"1,159",132,115,105,155,冰
暴雪王,"2,362",173,178,158,207,冰
瑪狃拉,"3,005",146,243,171,172,冰
冰伊布,"3,126",139,238,205,163,冰
象牙豬,"3,328",200,247,146,242,冰
雪妖女,"2,040",146,171,150,172,冰
迷你冰,"1,033",100,118,106,113,冰
多多冰,"1,591",120,151,138,139,冰
雙倍多多冰,"2,822",147,218,184,174,冰
噴嚏熊,"1,069",125,128,74,146,冰
凍原熊,"3,042",180,233,152,216,冰
幾何雪花,"2,798",160,190,218,190,冰
酋雷姆,"3,575",203,246,170,245,冰
,"2,164",152,171,154,180,
,,,,,,
迷你龍,"1,004",106,119,91,121,龍
哈克龍,"1,780",133,163,135,156,龍
快龍,"3,792",175,263,198,209,龍
刺龍王,"2,641",153,194,194,181,龍
超音波幼蟲,"1,225",118,134,99,137,龍
沙漠蜻蜓,"2,661",160,205,168,190,龍
七夕青鳥,"2,004",153,141,201,181,龍
寶貝龍,"1,156",111,134,93,128,龍
甲殼龍,"2,031",139,172,155,163,龍
暴飛龍,"3,749",180,277,168,216,龍
拉帝亞斯,"3,510",160,228,246,190,龍
拉帝歐斯,"3,812",160,268,212,190,龍
烈空坐,"3,835",178,284,170,213,龍
圓陸鯊,"1,112",129,124,84,151,龍
尖牙陸鯊,"1,874",143,172,125,169,龍
烈咬陸鯊,"3,962",198,261,193,239,龍
帝牙盧卡,"4,038",171,275,211,205,龍
騎拉帝納,"3,379",233,187,225,284,龍
牙牙,"1,368",113,154,101,130,龍
斧牙龍,"2,234",140,212,123,165,龍
雙斧戰龍,"3,593",154,284,172,183,龍
赤面龍,"2,732",155,213,170,184,龍
單首龍,"1,062",121,116,93,141,龍
雙首暴龍,"1,839",149,159,135,176,龍
三首惡龍,"3,625",176,256,188,211,龍
萊希拉姆,"4,038",171,275,211,205,龍
捷克羅姆,"4,038",171,275,211,205,龍
酋雷姆,"3,575",203,246,170,245,龍
,"2,702",155,207,162,185,
,,,,,,
月亮伊布,"2,137",180,126,240,216,惡
黑暗鴉,"1,562",132,175,87,155,惡
狃拉,"2,051",125,189,146,146,惡
戴魯比,"1,234",111,152,83,128,惡
黑魯加,"2,635",153,224,144,181,惡
班基拉斯,"3,834",187,251,207,225,惡
土狼犬,678,98,96,61,111,惡
大狼犬,"1,926",146,171,132,172,惡
長鼻葉,"1,227",146,134,78,172,惡
狡猾天狗,"2,333",173,200,121,207,惡
勾魂眼,"1,476",118,141,136,137,惡
利牙魚,"1,020",111,171,39,128,惡
巨牙鯊,"2,181",146,243,83,172,惡
夢歌仙人掌,"2,298",146,221,115,172,惡
鐵螯龍蝦,"2,474",136,224,142,160,惡
阿勃梭魯,"2,526",139,246,120,163,惡
烏鴉頭頭,"2,711",187,243,103,225,惡
臭鼬噗,"1,151",136,121,90,160,惡
坦克臭鼬,"2,358",191,184,132,230,惡
花岩怪,"2,072",118,169,199,137,惡
龍王蠍,"2,453",146,180,202,172,惡
瑪狃拉,"3,005",146,243,171,172,惡
扒手貓,772,106,98,73,121,惡
酷豹,"1,846",138,187,106,162,惡
黑眼鱷,"1,037",118,132,69,137,惡
混混鱷,"1,418",132,155,90,155,惡
流氓鱷,"3,046",180,229,158,216,惡
滑滑小子,"1,372",118,132,132,137,惡
頭巾混混,"2,283",139,163,222,163,惡
索羅亞,"1,175",105,153,78,120,惡
索羅亞克,"2,571",132,250,127,155,惡
駒刀小兵,"1,433",111,154,114,128,惡
劈斬司令,"2,844",139,232,176,163,惡
禿鷹丫頭,"1,271",146,105,139,172,惡
禿鷹娜,"2,138",200,129,205,242,惡
單首龍,"1,062",121,116,93,141,惡
雙首暴龍,"1,839",149,159,135,176,惡
三首惡龍,"3,625",176,256,188,211,惡
堵攔熊,"2,652",177,180,194,212,惡
,"1,993",143,178,132,168,
