Ä_¥i¹Ú¯à¤O­Èªí,,,,,,,,
¦W¦r,³Ì¤j CP,³Ì¤j HP,§ðÀ»,¨¾¿m,­@¤O,ÄÝ©Ê,¶Ç»¡Ä_¥i¹Ú,¤Û¤§Ä_¥i¹Ú
¬£©Ô´µ,"1,018",98,121,99,111,ÂÎ,§_,§_
¬£©Ô´µ¯S,"1,859",132,165,146,155,ÂÎ,§_,§_
¤ò²y,"1,004",132,100,100,155,ÂÎ,§_,§_
¼¯¾|¸¿,"2,082",146,179,143,172,ÂÎ,§_,§_
­¸¤ÑÁ®½¸,"2,706",146,218,170,172,ÂÎ,§_,§_
³ÍÃ¹´µ,"2,959",139,238,182,163,ÂÎ,§_,§_
ªÝ¿]ÂÎ,728,105,72,118,120,ÂÎ,§_,§_
¦w¿]ÂÎ,"1,346",125,107,179,146,ÂÎ,§_,§_
¶êµ·µï,816,105,105,73,120,ÂÎ,§_,§_
ªü§Q¦h´µ,"1,772",146,161,124,172,ÂÎ,§_,§_
»f»f¸»,"1,470",139,154,94,163,ÂÎ,§_,§_
ºdªG²y,"1,108",118,108,122,137,ÂÎ,§_,§_
¦ò¯P¦«´µ,"2,282",153,161,205,181,ÂÎ,§_,§_
¥¨¹XÁ®½¸,"3,001",146,236,181,172,ÂÎ,§_,§_
³ý³ý,405,78,17,396,85,ÂÎ,§_,§_
»®©Ô§JÃ¹´µ,"3,101",160,234,179,190,ÂÎ,§_,§_
¨ë§ÀÂÎ,578,111,75,59,128,ÂÎ,§_,§_
¥Ò´ßÃµ,553,118,60,77,137,ÂÎ,§_,§_
¬¼Ây»ñ½º,"1,765",132,189,98,155,ÂÎ,§_,§_
¬Þ¥ÒÃµ,553,118,60,77,137,ÂÎ,§_,§_
¬r¯»¸¿,"1,224",132,98,162,155,ÂÎ,§_,§_
·È·È¿}²y,791,105,93,87,120,ÂÎ,§_,§_
«B¯Í¸¿,"2,270",146,192,150,172,ÂÎ,§_,§_
¹q¿ÃÂÎ,"1,771",139,143,166,163,ÂÎ,§_,§_
²¢²¢¿Ã,"1,771",139,143,166,163,ÂÎ,§_,§_
¤Ó¥j¦ÐÂÎ,"1,529",111,176,100,128,ÂÎ,§_,§_
¤Ó¥j²¯¥Ò,"2,848",153,222,174,181,ÂÎ,§_,§_
¶êªk®v,401,100,45,74,114,ÂÎ,§_,§_
­µ½cÁ¬,"1,653",155,160,100,184,ÂÎ,§_,§_
µ²¯ó¨à,488,105,53,83,120,ÂÎ,§_,§_
µ²¯ó¶Q°ü,"1,773",132,141,180,155,ÂÎ,§_,§_
²Ô¤h¸¿,"1,815",146,185,98,172,ÂÎ,§_,§_
¤T»e¸Á,494,91,59,83,102,ÂÎ,§_,§_
¸Á¤k¤ý,"2,005",146,149,190,172,ÂÎ,§_,§_
¹X§ÀÃÈ,"1,009",105,93,151,120,ÂÎ,§_,§_
»·¥j¥¨¸»,"2,946",168,231,156,200,ÂÎ,§_,§_
ÂÎÄ_¥],977,111,96,124,128,ÂÎ,§_,§_
Ä_¥]Ãµ,"1,370",125,115,162,146,ÂÎ,§_,§_
«O¥ÀÂÎ,"2,580",153,205,165,181,ÂÎ,§_,§_
¦Ê¨¬¸¼°G,706,91,83,99,102,ÂÎ,§_,§_
¨®½ü²A,"1,144",105,100,173,120,ÂÎ,§_,§_
¸¼°G¤ý,"2,447",132,203,175,155,ÂÎ,§_,§_
¥Û©~ÃÉ,"1,224",118,118,128,137,ÂÎ,§_,§_
©¥·µ©~ÃÉ,"2,542",146,188,200,172,ÂÎ,§_,§_
»\»\ÂÎ,"1,182",118,137,87,137,ÂÎ,§_,§_
ÃM¤h½½¤û,"2,889",146,223,187,172,ÂÎ,§_,§_
¹q¹qÂÎ,"1,023",118,110,98,137,ÂÎ,§_,§_
¹q»jµï,"2,206",146,201,128,172,ÂÎ,§_,§_
¤p¼L½½,834,118,72,140,137,ÂÎ,§_,§_
±Ó±¶ÂÎ,"2,441",160,220,120,190,ÂÎ,§_,§_
ÅKÃÆ,"2,659",129,217,188,151,ÂÎ,§_,§_
¿U¿NÂÎ,"1,496",125,156,107,146,ÂÎ,§_,§_
¤õ¯«¸¿,"3,632",166,264,189,198,ÂÎ,§_,§_
»\¿ÕÁÉ§J¯S,"3,353",147,252,199,174,ÂÎ,§_,¬O
°­´µ,"1,229",91,186,67,102,«ÕÆF,§_,§_
°­´µ³q,"1,963",111,223,107,128,«ÕÆF,§_,§_
¯Õ°­,"2,878",132,261,149,155,«ÕÆF,§_,§_
¹Ú§¯,"1,926",132,167,154,155,«ÕÆF,§_,§_
¤Ä»î²´,"1,476",118,141,136,137,«ÕÆF,§_,§_
«è¼v«½«½,"1,018",111,138,65,127,«ÕÆF,§_,§_
¶A©G«½«½,"2,298",138,218,126,162,«ÕÆF,§_,§_
©]¨µÆF,706,78,70,162,85,«ÕÆF,§_,§_
§Ï´a©]ÆF,"1,591",105,124,234,120,«ÕÆF,§_,§_
ÄÆÄÆ²y,"1,197",173,117,80,207,«ÕÆF,§_,§_
ÀH­·²y,"2,382",255,180,102,312,«ÕÆF,§_,§_
¹Ú§¯Å],"2,615",132,211,187,155,«ÕÆF,§_,§_
ªá©¥©Ç,"2,072",118,169,199,137,«ÕÆF,§_,§_
¶Â©]Å]ÆF,"2,388",111,180,254,128,«ÕÆF,§_,§_
³·§¯¤k,"2,040",146,171,150,172,«ÕÆF,§_,§_
¬¥¦«©i,"2,031",118,185,159,137,«ÕÆF,§_,§_
ÃM©Ô«Ò¯Ç,"3,379",233,187,225,284,«ÕÆF,¬O,§_
­ú­ú­±¨ã,982,102,95,141,116,«ÕÆF,§_,§_
¦º¯«´Ã,"2,273",129,163,237,151,«ÕÆF,§_,§_
»´ÄÆÄÆ,"1,257",125,115,134,146,«ÕÆF,§_,§_
­D¹Ê¹Ê,"2,338",187,159,178,225,«ÕÆF,§_,§_
Àë¥úÆF,"1,006",118,108,98,137,«ÕÆF,§_,§_
¿O¤õ«ÕÆF,"1,708",132,169,115,155,«ÕÆF,§_,§_
¤ô´¹¿O¤õÆF,"3,268",132,271,182,155,«ÕÆF,§_,§_
ªd°¸¤p¤H,"1,189",131,127,92,153,«ÕÆF,§_,§_
ªd°¸¥¨¤H,"2,854",171,222,154,205,«ÕÆF,§_,§_
¤pºÏ©Ç,"1,362",84,165,121,93,¿û,§_,§_
¤T¦X¤@ºÏ©Ç,"2,485",118,223,169,137,¿û,§_,§_
¦ò¯P¦«´µ,"2,282",153,161,205,181,¿û,§_,§_
¤j¿û³D,"2,414",153,148,272,181,¿û,§_,§_
¥¨¹XÁ®½¸,"3,001",146,236,181,172,¿û,§_,§_
²¯¥Ò³¾,"2,108",139,148,226,163,¿û,§_,§_
¤j¼L«½,"1,634",118,155,141,137,¿û,§_,§_
¥i¥i¦h©Ô,"1,307",118,121,141,137,¿û,§_,§_
¥i¦h©Ô,"2,056",132,158,198,155,¿û,§_,§_
ªi¤h¥i¦h©Ô,"3,000",146,198,257,172,¿û,§_,§_
ÅK°×¹a,976,105,96,132,120,¿û,§_,§_
ª÷ÄÝ©Ç,"1,721",132,138,176,155,¿û,§_,§_
¥¨ª÷©Ç,"3,791",160,257,228,190,¿û,§_,§_
¹p¦N´µ©_¾|,"2,447",160,143,285,190,¿û,§_,§_
«Ò¤ý®³ªi,"2,900",165,210,186,197,¿û,§_,§_
¬Þ¥ÒÀs,890,91,76,195,102,¿û,§_,§_
Å@«°Às,"1,539",132,94,286,155,¿û,§_,§_
»ÉÃè©Ç,603,128,43,154,149,¿û,§_,§_
«C»ÉÄÁ,"2,239",142,161,213,167,¿û,§_,§_
¸ô¥d§Q¼Ú,"2,703",146,236,144,172,¿û,§_,§_
¦ÛÃzºÏ©Ç,"3,205",146,238,205,172,¿û,§_,§_
¤j´Â¥_»ó,"2,080",132,135,275,155,¿û,§_,§_
«Ò¤ú¿c¥d,"4,038",171,275,211,205,¿û,¬O,§_
ÀsÀY¦a¹«,"3,244",200,255,129,242,¿û,§_,§_
ÃM¤h½½¤û,"2,889",146,223,187,172,¿û,§_,§_
ºØ¤lÅK²y,941,111,82,155,127,¿û,§_,§_
°íªG°×¹a,"2,321",151,158,223,179,¿û,§_,§_
¾¦½ü¨à,956,105,98,121,120,¿û,§_,§_
¾¦½ü²Õ,"1,847",132,150,174,155,¿û,§_,§_
¾¦½ü©Ç,"2,637",132,199,214,155,¿û,§_,§_
¾s¤M¤p§L,"1,433",111,154,114,128,¿û,§_,§_
¼A±Ù¥q¥O,"2,844",139,232,176,163,¿û,§_,§_
ÅKÃÆ,"2,659",129,217,188,151,¿û,§_,§_
¤Ä©¬¸ô¯Î,"3,022",175,192,229,209,¿û,¬O,§_
»\¿ÕÁÉ§J¯S,"3,353",147,252,199,174,¿û,§_,¬O
¬ü¿ý©Z,"1,068",113,118,99,130,¿û,§_,¬O
¬ü¿ý±ö¶ð,"3,599",218,226,190,264,¿û,§_,¬O
ØpÀY¥Ø,"2,386",146,195,162,172,¿û,§_,§_
¤p¤õÀs,980,103,116,93,118,¤õ,§_,§_
¤õ®£Às,"1,653",129,158,126,151,¤õ,§_,§_
¼Q¤õÀs,"2,889",157,223,173,186,¤õ,§_,§_
¤»§À,883,102,96,109,116,¤õ,§_,§_
¤E§À,"2,279",150,169,190,177,¤õ,§_,§_
¥d¸¦ª¯,"1,243",125,136,93,146,¤õ,§_,§_
­·³tª¯,"3,029",173,227,166,207,¤õ,§_,§_
¤p¤õ°¨,"1,697",118,170,127,137,¤õ,§_,§_
¯PµK°¨,"2,461",139,207,162,163,¤õ,§_,§_
Àn¼L¤õÃ~,"2,394",139,206,154,163,¤õ,§_,§_
¤õ¥ì¥¬,"3,029",139,246,179,163,¤õ,§_,§_
¤õµK³¾,"3,465",173,251,181,207,¤õ,¬O,§_
¤õ²y¹«,980,103,116,93,118,¤õ,§_,§_
¤õ©¥¹«,"1,653",129,158,126,151,¤õ,§_,§_
¤õÃzÃ~,"2,889",157,223,173,186,¤õ,§_,§_
º²©¥ÂÎ,895,105,118,71,120,¤õ,§_,§_
º²©¥½½¤û,"1,702",118,139,191,137,¤õ,§_,§_
À¹¾|¤ñ,"1,234",111,152,83,128,¤õ,§_,§_
¶Â¾|¥[,"2,635",153,224,144,181,¤õ,§_,§_
Àn¼LÄ_Ä_,"1,323",111,151,99,128,¤õ,§_,§_
ª¢«Ò,"3,473",207,235,171,251,¤õ,¬O,§_
»ñ¤ý,"3,863",179,239,244,214,¤õ,¬O,§_
¤õ¸XÂû,"1,093",111,130,87,128,¤õ,§_,§_
¤O§§Âû,"1,652",132,163,115,155,¤õ,§_,§_
¤õµKÂû,"2,848",160,240,141,190,¤õ,§_,§_
§b¤õ¾m,"1,057",132,119,79,155,¤õ,§_,§_
¼Q¤õ¾m,"2,193",146,194,136,172,¤õ,§_,§_
·Ñ¬´Àt,"2,093",146,151,203,172,¤õ,§_,§_
¤p¤õµKµU,957,111,113,86,127,¤õ,§_,§_
²r¤õµU,"1,574",138,158,105,162,¤õ,§_,§_
¯PµKµU,"2,683",154,222,151,183,¤õ,§_,§_
Àn¼Lª¢Ã~,"3,132",153,247,172,181,¤õ,§_,§_
¤ñ§J´£¥§,"3,265",187,210,210,225,¤õ,§_,¬O
·x·x½Þ,"1,083",139,115,85,163,¤õ,§_,§_
ª£ª£½Þ,"1,924",173,173,106,207,¤õ,§_,§_
ª¢ªZ¤ý,"2,982",200,235,127,242,¤õ,§_,§_
Ãz­»µU,956,118,104,94,137,¤õ,§_,§_
Ãz­»·á,"2,350",153,206,133,181,¤õ,§_,§_
¤õ¬õ¤£­Ë¯Î,"1,442",146,153,86,172,¤õ,§_,§_
¹F¼¯ÍaÍa,"3,105",193,263,114,233,¤õ,§_,§_
Àë¥úÆF,"1,006",118,108,98,137,¤õ,§_,§_
¿O¤õ«ÕÆF,"1,708",132,169,115,155,¤õ,§_,§_
¤ô´¹¿O¤õÆF,"3,268",132,271,182,155,¤õ,§_,§_
º²ÃÆÃ~,"2,395",166,204,129,198,¤õ,§_,§_
¿U¿NÂÎ,"1,496",125,156,107,146,¤õ,§_,§_
¤õ¯«¸¿,"3,632",166,264,189,198,¤õ,§_,§_
µÜ§Æ©Ô©i,"4,038",171,275,211,205,¤õ,¬O,§_
³Ç¥§Àt,946,111,94,121,127,¤ô,§_,§_
¥d«}Àt,"1,488",131,126,155,153,¤ô,§_,§_
¤ô½bÀt,"2,466",158,171,207,188,¤ô,§_,§_
¥i¹FÀn,"1,106",118,122,95,137,¤ô,§_,§_
­ô¹FÀn,"2,450",160,191,162,190,¤ô,§_,§_
°A­»½Á°B,829,105,101,82,120,¤ô,§_,§_
°A­»§g,"1,419",139,130,123,163,¤ô,§_,§_
°A­»ªa¤h,"2,586",173,182,184,207,¤ô,§_,§_
º¿·ê¤ô¥À,"1,040",105,97,149,120,¤ô,§_,§_
¬r¨ë¤ô¥À,"2,422",160,166,209,190,¤ô,§_,§_
§b§bÃ~,"1,226",173,109,98,207,¤ô,§_,§_
§b´ßÃ~,"2,545",180,177,180,216,¤ô,§_,§_
¤p®ü·à,971,139,85,121,163,¤ô,§_,§_
¥Õ®ü·à,"1,985",173,139,177,207,¤ô,§_,§_
¤j¦Þ¨©,"1,080",91,116,134,102,¤ô,§_,§_
¨ë¥Ò¨©,"2,547",118,186,256,137,¤ô,§_,§_
¤j¹XÃÉ,"1,561",91,181,124,102,¤ô,§_,§_
¥¨¹XÃÉ,"2,829",125,240,181,146,¤ô,§_,§_
¾¥®ü°¨,"1,056",91,129,103,102,¤ô,§_,§_
®ü¨ëÀs,"2,093",125,187,156,146,¤ô,§_,§_
¨¤ª÷³½,"1,152",111,123,110,128,¤ô,§_,§_
ª÷³½¤ý,"2,162",160,175,147,190,¤ô,§_,§_
®ü¬P¬P,"1,157",91,137,112,102,¤ô,§_,§_
Ä_¥Û®ü¬P,"2,584",132,210,184,155,¤ô,§_,§_
ÃU³½¤ý,274,78,29,85,85,¤ô,§_,§_
¼ÉÃUÀs,"3,391",180,237,186,216,¤ô,§_,§_
©Ô´¶©Ô´µ,"2,641",228,165,174,277,¤ô,§_,§_
¤ô¥ì¥¬,"3,114",228,205,161,277,¤ô,§_,§_
µâ¥ÛÃ~,"1,544",98,155,153,111,¤ô,§_,§_
¦h¨ëµâ¥ÛÃ~,"2,786",146,207,201,172,¤ô,§_,§_
¤Æ¥Û²¯,"1,370",91,148,140,102,¤ô,§_,§_
ÅI¤M²¯,"2,713",132,220,186,155,¤ô,§_,§_
¤p¿÷Æs,"1,131",118,117,109,137,¤ô,§_,§_
ÂÅÆs,"1,722",139,150,142,163,¤ô,§_,§_
¤j¤OÆs,"2,857",166,205,188,198,¤ô,§_,§_
¿OÅ¢³½,"1,119",153,106,97,181,¤ô,§_,§_
¹q¿O©Ç,"2,085",221,146,137,268,¤ô,§_,§_
º¿¤OÅS,461,146,37,93,172,¤ô,§_,§_
º¿¤OÅSÄR,"1,588",187,112,152,225,¤ô,§_,§_
°A­»µì¬Ó,"2,449",173,174,179,207,¤ô,§_,§_
¯Qªi,641,125,75,66,146,¤ô,§_,§_
ªh¤ý,"1,992",180,152,143,216,¤ô,§_,§_
§b§b¤ý,"2,545",180,177,180,216,¤ô,§_,§_
¤d°w³½,"2,051",139,184,138,163,¤ô,§_,§_
¤Ó¶§¬À·ä,"1,378",125,118,156,146,¤ô,§_,§_
ÅK¬¶³½,912,98,127,69,111,¤ô,§_,§_
³¹³½±í,"2,315",153,197,141,181,¤ô,§_,§_
¥¨¯Í­¸³½,"2,108",139,148,226,163,¤ô,§_,§_
¨ëÀs¤ý,"2,641",153,194,194,181,¤ô,§_,§_
¤ô§g,"2,983",187,180,235,225,¤ô,¬O,§_
¤ôÅD³½,"1,128",118,126,93,137,¤ô,§_,§_
ªhÅD³½,"1,776",146,156,133,172,¤ô,§_,§_
¥¨ªh©Ç,"2,974",187,208,175,225,¤ô,§_,§_
½¬¸­µ£¤l,598,105,71,77,120,¤ô,§_,§_
½¬´U¤pµ£,"1,197",132,112,119,155,¤ô,§_,§_
¼Ö¤Ñªeµ£,"2,323",160,173,176,190,¤ô,§_,§_
ªø¯ÍÅÃ,765,105,106,61,120,¤ô,§_,§_
¤j¼LÅÃ,"2,127",132,175,174,155,¤ô,§_,§_
·È·È¿}²y,791,105,93,87,120,¤ô,§_,§_
§Q¤ú³½,"1,020",111,171,39,128,¤ô,§_,§_
¥¨¤úÃT,"2,181",146,243,83,172,¤ô,§_,§_
§q§qÄH,"1,468",228,136,68,277,¤ô,§_,§_
§qÄH¤ý,"2,280",283,175,87,347,¤ô,§_,§_
ªdªdÄÏ,819,118,93,82,137,¤ô,§_,§_
óÎ³½¤ý,"2,075",200,151,141,242,¤ô,§_,§_
Às½¼¤p§L,"1,230",109,141,99,125,¤ô,§_,§_
ÅKîgÀs½¼,"2,474",136,224,142,160,¤ô,§_,§_
ÁàÁà³½,274,78,29,85,85,¤ô,§_,§_
¬ü¯Ç´µ,"3,005",180,192,219,216,¤ô,§_,§_
®ü°\²y,962,146,95,90,172,¤ô,§_,§_
®üÅ]·à,"1,714",173,137,132,207,¤ô,§_,§_
«Ò¤ú®ü·à,"2,726",200,182,176,242,¤ô,§_,§_
¥jªÅ´Æ³½,"2,528",187,162,203,225,¤ô,§_,§_
·R¤ß³½,848,109,81,128,125,¤ô,§_,§_
»\¼Ú¥d,"4,115",171,270,228,205,¤ô,¬O,§_
ªi¥[°Ò,"1,075",122,112,102,142,¤ô,§_,§_
ªi¬Ó¤l,"1,701",138,150,139,162,¤ô,§_,§_
«Ò¤ý®³ªi,"2,900",165,210,186,197,¤ô,§_,§_
¤j§À¯W,"1,823",158,162,119,188,¤ô,§_,§_
ªa°éÃ^,"1,054",125,132,67,146,¤ô,§_,§_
¯B¼çÃ^,"2,443",166,221,114,198,¤ô,§_,§_
µL´ß®ü¨ß,"1,136",154,103,105,183,¤ô,§_,§_
®ü¨ßÃ~,"2,324",202,169,143,244,¤ô,§_,§_
¿Ã¥ú³½,971,117,96,116,135,¤ô,§_,§_
ÀO­i³½,"1,814",144,142,170,170,¤ô,§_,§_
¤p²y­¸³½,"1,248",111,105,179,128,¤ô,§_,§_
¤ô¤ôÃ¡,"1,046",125,117,85,146,¤ô,§_,§_
Âù¤b¤Y,"1,741",153,159,116,181,¤ô,§_,§_
¤j¼C°­,"2,826",180,212,157,216,¤ô,§_,§_
§N¤ôµU,956,118,104,94,137,¤ô,§_,§_
§N¤ô·á,"2,350",153,206,133,181,¤ô,§_,§_
¶ê½Á°B,839,118,98,78,137,¤ô,§_,§_
ÂÅÃÊßï,"1,392",153,128,109,181,¤ô,§_,§_
ÃÊßï¤ý,"2,564",193,188,150,233,¤ô,§_,§_
³¥ÆZÆt³½,"2,090",146,189,129,172,¤ô,§_,§_
­ì»\®üÀt,"1,488",124,134,146,144,¤ô,§_,§_
¦Ø°©®üÀt,"2,621",151,192,197,179,¤ô,§_,§_
ÀnÄ_Ä_,856,135,84,96,158,¤ô,§_,§_
»R¤ÑÃZ,"2,088",153,182,132,181,¤ô,§_,§_
»´ÄÆÄÆ,"1,257",125,115,134,146,¤ô,§_,§_
­D¹Ê¹Ê,"2,338",187,159,178,225,¤ô,§_,§_
«O¥À°Òªi,"2,169",275,138,131,338,¤ô,§_,§_
³Í¸ô­}¼Ú,"3,698",175,260,192,209,¤ô,§_,¬O
§®µìºØ¤l,"1,115",111,118,111,128,¯ó,§_,§_
§®µì¯ó,"1,699",132,151,143,155,¯ó,§_,§_
§®µìªá,"2,720",160,198,189,190,¯ó,§_,§_
¨«¸ô¯ó,"1,228",111,131,112,128,¯ó,§_,§_
¯ä¯äªá,"1,681",132,153,136,155,¯ó,§_,§_
ÅQ¤ýªá,"2,559",153,202,167,181,¯ó,§_,§_
¬£©Ô´µ,"1,018",98,121,99,111,¯ó,§_,§_
¬£©Ô´µ¯S,"1,859",132,165,146,155,¯ó,§_,§_
³â¥zªÞ,"1,033",118,139,61,137,¯ó,§_,§_
¤f§bªá,"1,611",139,172,92,163,¯ó,§_,§_
¤j­¹ªá,"2,431",160,207,135,190,¯ó,§_,§_
³J³J,"1,175",132,107,125,155,¯ó,§_,§_
·¦³J¾ð,"3,014",180,233,149,216,¯ó,§_,§_
½¯ÃÃ©Ç,"2,238",139,183,169,163,¯ó,§_,§_
µâ¯ó¸­,935,111,92,122,128,¯ó,§_,§_
¤ë®Û¸­,"1,454",132,122,155,155,¯ó,§_,§_
¤jªÇ¸ª,"2,410",160,168,202,190,¯ó,§_,§_
¬üÄRªá,"2,281",153,169,186,181,¯ó,§_,§_
··¤l¯ó,600,98,67,94,111,¯ó,§_,§_
··¤lªá,976,125,91,120,146,¯ó,§_,§_
··¤l´Ö,"1,636",153,118,183,181,¯ó,§_,§_
¦V¤éºØ¤l,395,91,55,55,102,¯ó,§_,§_
¦V¤éªá©Ç,"2,141",153,185,135,181,¯ó,§_,§_
®É©Ô¤ñ,"3,265",187,210,210,225,¯ó,§_,¬O
¤ì¦u®c,"1,053",105,124,94,120,¯ó,§_,§_
´ËªL»h»i,"1,673",118,172,120,137,¯ó,§_,§_
»h»i¤ý,"2,757",146,223,169,172,¯ó,§_,§_
½¬¸­µ£¤l,598,105,71,77,120,¯ó,§_,§_
½¬´U¤pµ£,"1,197",132,112,119,155,¯ó,§_,§_
¼Ö¤Ñªeµ£,"2,323",160,173,176,190,¯ó,§_,§_
¾ó¹êªG,598,105,71,77,120,¯ó,§_,§_
ªø»ó¸­,"1,227",146,134,78,172,¯ó,§_,§_
¬¾·â¤Ñª¯,"2,333",173,200,121,207,¯ó,§_,§_
Ä¨Ä¨Û£,810,132,74,110,155,¯ó,§_,§_
¤æ²ÁÛ£,"2,628",132,241,144,155,¯ó,§_,§_
¬rÁ¥Á¨,"1,870",118,186,131,137,¯ó,§_,§_
¨ë²y¥P¤H´x,"1,242",118,156,74,137,¯ó,§_,§_
¹Úºq¥P¤H´x,"2,298",146,221,115,172,¯ó,§_,§_
Ä²¤â¦Ê¦X,"1,291",140,105,150,165,¯ó,§_,§_
·nÄx¦Ê¦X,"2,211",168,152,194,200,¯ó,§_,§_
¼ö±aÀs,"1,941",186,136,163,223,¯ó,§_,§_
¯ó­]Àt,"1,187",125,119,110,146,¯ó,§_,§_
¾ðªLÀt,"1,890",153,157,143,181,¯ó,§_,§_
¤g¥xÀt,"2,934",180,202,188,216,¯ó,§_,§_
§t²Û­c,856,105,91,109,120,¯ó,§_,§_
Ã¹µ·¹p¦·,"2,971",132,243,185,155,¯ó,§_,§_
µ²¯ó¶Q°ü,"1,773",132,141,180,155,¯ó,§_,§_
ÄåªáÄ_,950,111,108,92,128,¯ó,§_,§_
Äåªá¨à,"2,048",146,170,153,172,¯ó,§_,§_
¦y¤úÅ¢,"2,159",151,187,136,179,¯ó,§_,§_
³·²Á©Ç,"1,159",132,115,105,155,¯ó,§_,§_
¼É³·¤ý,"2,362",173,178,158,207,¯ó,§_,§_
¥¨½¯ÃÃ,"3,030",187,207,184,225,¯ó,§_,§_
¸­¥ì¥¬,"2,944",139,216,219,163,¯ó,§_,§_
ÃÃÃÃ³D,849,111,88,107,128,¯ó,§_,§_
«CÃÃ³D,"1,441",132,122,152,155,¯ó,§_,§_
§g¥D³D,"2,277",153,161,204,181,¯ó,§_,§_
ªá·¦µU,956,118,104,94,137,¯ó,§_,§_
ªá·¦·á,"2,350",153,206,133,181,¯ó,§_,§_
ÂÎÄ_¥],977,111,96,124,128,¯ó,§_,§_
Ä_¥]Ãµ,"1,370",125,115,162,146,¯ó,§_,§_
«O¥ÀÂÎ,"2,580",153,205,165,181,¯ó,§_,§_
¤ì´Ö²y,700,105,71,111,120,¯ó,§_,§_
­·§¯ºë,"2,014",132,164,176,155,¯ó,§_,§_
¦Ê¦X®Ú«½«½,"1,030",111,119,91,128,¯ó,§_,§_
¸È¨à¤p©j,"2,550",146,214,155,172,¯ó,§_,§_
¨F¹a¥P¤H´x,"2,274",153,201,130,181,¯ó,§_,§_
¥|©u³À,"1,135",132,115,100,155,¯ó,§_,§_
µÞªÞ³À,"2,416",160,198,146,190,¯ó,§_,§_
«u§r²yÛ£,979,144,97,91,170,¯ó,§_,§_
±ÑÅS²yÛ£,"2,140",206,155,139,249,¯ó,§_,§_
ºØ¤lÅK²y,941,111,82,155,127,¯ó,§_,§_
°íªG°×¹a,"2,321",151,158,223,179,¯ó,§_,§_
²¦¤O¦N¯Î,"3,022",175,192,229,209,¯ó,¬O,§_
¥Ö¥d¥C,938,98,112,96,111,¹q,§_,§_
¹p¥C,"2,182",132,193,151,155,¹q,§_,§_
¤pºÏ©Ç,"1,362",84,165,121,93,¹q,§_,§_
¤T¦X¤@ºÏ©Ç,"2,485",118,223,169,137,¹q,§_,§_
ÅRÆE¹q²y,"1,010",105,109,111,120,¹q,§_,§_
¹x¥Ö¹p¼u,"2,099",132,173,173,155,¹q,§_,§_
¹qÀ»Ã~,"2,334",139,198,158,163,¹q,§_,§_
¹p¥ì¥¬,"2,888",139,232,182,163,¹q,§_,§_
°{¹q³¾,"3,527",173,253,185,207,¹q,¬O,§_
¿OÅ¢³½,"1,119",153,106,97,181,¹q,§_,§_
¹q¿O©Ç,"2,085",221,146,137,268,¹q,§_,§_
¥Ö¥C,473,78,77,53,85,¹q,§_,§_
«§§Q¦Ï,991,125,114,79,146,¹q,§_,§_
¯ñ¯ñ¦Ï,"1,521",146,145,109,172,¹q,§_,§_
¹qÀs,"2,852",173,211,169,207,¹q,§_,§_
¹qÀ»©Ç,"1,206",111,135,101,128,¹q,§_,§_
¹p¤½,"3,452",173,241,195,207,¹q,¬O,§_
¸¨¹pÃ~,965,105,123,78,120,¹q,§_,§_
¹p¹qÃ~,"2,340",146,215,127,172,¹q,§_,§_
¥¿¹q©ç©ç,"1,778",132,167,129,155,¹q,§_,§_
­t¹q©ç©ç,"1,694",132,147,150,155,¹q,§_,§_
¤p¿ß©Ç,876,111,117,64,128,¹q,§_,§_
°Ç§J¿ß,"1,486",132,159,95,155,¹q,§_,§_
­Ûµ^¿ß,"2,888",160,232,156,190,¹q,§_,§_
©¬©_§Q¯÷,"1,213",132,94,172,155,¹q,§_,§_
¦ÛÃzºÏ©Ç,"3,205",146,238,205,172,¹q,§_,§_
¹qÀ»Å]Ã~,"3,079",153,249,163,181,¹q,§_,§_
¬¥¦«©i,"2,031",118,185,159,137,¹q,§_,§_
´³´³°¨,882,111,118,64,128,¹q,§_,§_
¹p¹q´³°¨,"2,428",153,211,136,181,¹q,§_,§_
¹q­¸¹«,"1,633",125,158,127,146,¹q,§_,§_
¹q¹qÂÎ,"1,023",118,110,98,137,¹q,§_,§_
¹q»jµï,"2,206",146,201,128,172,¹q,§_,§_
³Â³Â¤p³½,811,98,105,78,111,¹q,§_,§_
³Â³ÂÅÁ,"1,715",139,156,130,163,¹q,§_,§_
³Â³ÂÅÁ³½¤ý,"2,732",166,217,152,198,¹q,§_,§_
ªd¤Ú³½,"2,162",199,144,171,240,¹q,§_,§_
¹p¹q¶³,"3,345",158,266,164,188,¹q,¬O,§_
±¶§JÃ¹©i,"4,038",171,275,211,205,¹q,¬O,§_
³Í¦è,"1,342",84,195,82,93,¶W¯à¤O,§_,§_
«i°ò©Ô,"2,059",105,232,117,120,¶W¯à¤O,§_,§_
­J¦a,"3,057",125,271,167,146,¶W¯à¤O,§_,§_
§b§bÃ~,"1,226",173,109,98,207,¶W¯à¤O,§_,§_
§b´ßÃ~,"2,545",180,177,180,216,¶W¯à¤O,§_,§_
¶Ê¯vðñ,"1,040",132,89,136,155,¶W¯à¤O,§_,§_
¤Þ¹Úðñ¤H,"2,090",166,144,193,198,¶W¯à¤O,§_,§_
³J³J,"1,175",132,107,125,155,¶W¯à¤O,§_,§_
